order_id,date,product,category,region,quantity,unit_price,total,status,customer_rating
ORD-10000,2024-05-05,Bluetooth Speaker,Electronics,EU,3,55.66,166.98,Completed,5
ORD-10001,2024-02-14,Running Shoes,Clothing,MENA,5,69.5,347.5,Refunded,3
ORD-10002,2024-09-15,Wireless Headphones,Electronics,MENA,2,83.1,166.2,Completed,5
ORD-10003,2024-08-02,Python Book,Books,EU,5,32.36,161.8,Refunded,5
ORD-10004,2024-03-22,Yoga Mat,Sports,APAC,1,24.25,24.25,Completed,4
ORD-10005,2024-02-22,Coffee Maker,Home & Kitchen,US,3,43.4,130.2,Refunded,3
ORD-10006,2024-05-15,Smartwatch,Electronics,US,5,222.36,1111.8,Refunded,5
ORD-10007,2024-02-10,Running Shoes,Clothing,MENA,4,74.31,297.24,Completed,5
ORD-10008,2024-10-22,Dumbbells,Sports,EU,3,42.61,127.83,Completed,3
ORD-10009,2024-02-10,Bluetooth Speaker,Electronics,EU,3,57.41,172.23,Completed,5
ORD-10010,2024-03-24,Yoga Mat,Sports,UK,3,22.29,66.87,Completed,4
ORD-10011,2024-11-07,Bluetooth Speaker,Electronics,EU,1,57.99,57.99,Pending,5
ORD-10012,2024-05-18,Python Book,Books,MENA,4,28.22,112.88,Completed,5
ORD-10013,2024-04-27,Smartwatch,Electronics,US,1,222.13,222.13,Completed,5
ORD-10014,2024-06-10,Yoga Mat,Sports,EU,5,20.16,100.8,Refunded,5
ORD-10015,2024-03-14,Resistance Bands,Sports,UK,4,19.75,79.0,Completed,4
ORD-10016,2024-10-26,Jacket,Clothing,APAC,3,82.19,246.57,Pending,5
ORD-10017,2024-09-17,Smartwatch,Electronics,APAC,2,190.96,381.92,Completed,3
ORD-10018,2024-12-14,Novel - Bestseller,Books,APAC,2,17.61,35.22,Pending,3
ORD-10019,2024-09-27,Backpack,Clothing,UK,4,47.78,191.12,Pending,3
ORD-10020,2024-05-16,Bluetooth Speaker,Electronics,UK,5,64.8,324.0,Completed,4
ORD-10021,2024-05-14,Backpack,Clothing,MENA,1,45.1,45.1,Completed,5
ORD-10022,2024-11-23,Resistance Bands,Sports,MENA,3,16.22,48.66,Pending,4
ORD-10023,2024-10-03,Coffee Maker,Home & Kitchen,MENA,2,45.2,90.4,Completed,5
ORD-10024,2024-07-04,Smartwatch,Electronics,UK,1,204.42,204.42,Completed,3
ORD-10025,2024-02-13,Python Book,Books,APAC,1,33.57,33.57,Completed,5
ORD-10026,2024-10-08,Air Fryer,Home & Kitchen,EU,4,67.06,268.24,Completed,5
ORD-10027,2024-10-03,Novel - Bestseller,Books,EU,2,19.97,39.94,Completed,5
ORD-10028,2024-09-21,Bluetooth Speaker,Electronics,APAC,4,63.74,254.96,Completed,4
ORD-10029,2024-10-28,Python Book,Books,MENA,1,27.47,27.47,Completed,5
ORD-10030,2024-04-27,Python Book,Books,US,1,27.04,27.04,Completed,4
ORD-10031,2024-12-08,Running Shoes,Clothing,APAC,3,66.86,200.58,Completed,5
ORD-10032,2024-10-22,Coffee Maker,Home & Kitchen,APAC,5,49.18,245.9,Completed,5
ORD-10033,2024-02-19,Air Fryer,Home & Kitchen,APAC,1,72.13,72.13,Completed,5
ORD-10034,2024-12-10,Backpack,Clothing,US,1,48.8,48.8,Completed,5
ORD-10035,2024-05-07,Jacket,Clothing,EU,1,77.8,77.8,Completed,5
ORD-10036,2024-05-22,Blender,Home & Kitchen,APAC,2,51.43,102.86,Completed,3
ORD-10037,2024-02-20,Blender,Home & Kitchen,US,5,60.61,303.05,Pending,3
ORD-10038,2024-03-26,Running Shoes,Clothing,APAC,2,73.55,147.1,Refunded,5
ORD-10039,2024-03-25,Python Book,Books,APAC,1,33.47,33.47,Completed,5
